tx_id,gene_id
ENST00000616157,ENSG00000277630
ENST00000614336,ENSG00000271254
ENST00000612640,ENSG00000271254
ENST00000613230,ENSG00000277400
ENST00000619792,ENSG00000278633
ENST00000612919,ENSG00000273748
ENST00000621424,ENSG00000277196
ENST00000615165,ENSG00000277196
ENST00000400754,ENSG00000274847
ENST00000612465,ENSG00000276256
ENST00000613204,ENSG00000278817
ENST00000617983,ENSG00000276017
ENST00000601199,ENSG00000268674
ENST00000612315,ENSG00000277475
ENST00000612848,ENSG00000276345
ENST00000618003,ENSG00000275063
ENST00000619729,ENSG00000277856
ENST00000616638,ENSG00000274175
ENST00000612565,ENSG00000278384
ENST00000613216,ENSG00000273554
ENST00000611339,ENSG00000273554
ENST00000621028,ENSG00000275869
ENST00000611746,ENSG00000277836
ENST00000672066,ENSG00000288499
ENST00000673544,ENSG00000288499
ENST00000672298,ENSG00000288499
ENST00000672379,ENSG00000288499
ENST00000673583,ENSG00000288499
ENST00000672062,ENSG00000288431
ENST00000672432,ENSG00000288431
ENST00000673158,ENSG00000288260
ENST00000673382,ENSG00000288297
ENST00000671802,ENSG00000288274
ENST00000672102,ENSG00000288243
ENST00000671962,ENSG00000288243
ENST00000672834,ENSG00000288243
ENST00000671936,ENSG00000288243
ENST00000672230,ENSG00000288243
ENST00000672865,ENSG00000288243
ENST00000671857,ENSG00000288243
ENST00000673523,ENSG00000288243
ENST00000672386,ENSG00000288243
ENST00000672096,ENSG00000288243
ENST00000672254,ENSG00000288243
ENST00000673377,ENSG00000288243
ENST00000672624,ENSG00000288243
ENST00000673407,ENSG00000288243
ENST00000672004,ENSG00000288243
ENST00000671861,ENSG00000288243
ENST00000672611,ENSG00000288243
ENST00000673579,ENSG00000288243
ENST00000672421,ENSG00000288243
ENST00000673478,ENSG00000288243
ENST00000672782,ENSG00000288243
ENST00000672060,ENSG00000288243
ENST00000671865,ENSG00000288243
ENST00000672259,ENSG00000288319
ENST00000671812,ENSG00000288319
ENST00000573911,ENSG00000261958
ENST00000571130,ENSG00000262191
ENST00000575017,ENSG00000262647
ENST00000631283,ENSG00000281107
ENST00000303728,ENSG00000169789
ENST00000477123,ENSG00000169789
ENST00000457658,ENSG00000114374
ENST00000440408,ENSG00000114374
ENST00000651177,ENSG00000114374
ENST00000417071,ENSG00000114374
ENST00000338981,ENSG00000114374
ENST00000493168,ENSG00000114374
ENST00000426564,ENSG00000114374
ENST00000453031,ENSG00000114374
ENST00000471409,ENSG00000114374
ENST00000672946,ENSG00000288263
ENST00000672546,ENSG00000288263
ENST00000672964,ENSG00000288263
ENST00000303804,ENSG00000169807
ENST00000472391,ENSG00000169807
ENST00000361365,ENSG00000198692
ENST00000465253,ENSG00000198692
ENST00000382772,ENSG00000198692
ENST00000464196,ENSG00000198692
ENST00000485584,ENSG00000198692
ENST00000602732,ENSG00000183753
ENST00000331070,ENSG00000183753
ENST00000602818,ENSG00000183753
ENST00000382585,ENSG00000183753
ENST00000707519,ENSG00000291426
ENST00000707520,ENSG00000291426
ENST00000707521,ENSG00000291426
ENST00000707522,ENSG00000291426
ENST00000707523,ENSG00000291426
ENST00000707524,ENSG00000291426
ENST00000707525,ENSG00000291426
ENST00000707526,ENSG00000291426
ENST00000707527,ENSG00000291426
ENST00000707528,ENSG00000291426
ENST00000707529,ENSG00000291426
ENST00000707530,ENSG00000291426
ENST00000707531,ENSG00000291426
ENST00000707533,ENSG00000291428
ENST00000707534,ENSG00000291428
ENST00000707536,ENSG00000291428
ENST00000707535,ENSG00000291428
ENST00000707537,ENSG00000291428
ENST00000707538,ENSG00000291428
ENST00000707539,ENSG00000291428
ENST00000707540,ENSG00000291428
ENST00000707541,ENSG00000291428
ENST00000707542,ENSG00000291428
ENST00000707543,ENSG00000291428
ENST00000707547,ENSG00000291428
ENST00000707544,ENSG00000291428
ENST00000707545,ENSG00000291428
ENST00000707546,ENSG00000291428
ENST00000707550,ENSG00000291431
ENST00000707551,ENSG00000291431
ENST00000707552,ENSG00000291431
ENST00000707558,ENSG00000291433
ENST00000707559,ENSG00000291434
ENST00000707560,ENSG00000291435
ENST00000707567,ENSG00000291440
ENST00000707575,ENSG00000291443
ENST00000707569,ENSG00000291442
ENST00000707570,ENSG00000291442
ENST00000710276,ENSG00000291442
ENST00000707571,ENSG00000291442
ENST00000707572,ENSG00000291442
ENST00000707573,ENSG00000291442
ENST00000707574,ENSG00000291442
ENST00000428845,ENSG00000236424
ENST00000444056,ENSG00000236424
ENST00000489397,ENSG00000236424
ENST00000495839,ENSG00000236424
ENST00000451548,ENSG00000258992
