"","ENSEMBL","ENTREZID","SYMBOL"
"298","ENSG00000166510","80323","CCDC68"
"299","ENSG00000166573","2587","GALR1"
"300","ENSG00000166619","10904","BLCAP"
"301","ENSG00000166897","114794","ELFN2"
"302","ENSG00000166963","4130","MAP1A"
"303","ENSG00000167513","81620","CDT1"
"304","ENSG00000167550","121268","RHEBL1"
"305","ENSG00000167772","51129","ANGPTL4"
"306","ENSG00000168398","624","BDKRB2"
"307","ENSG00000168497","8436","CAVIN2"
"308","ENSG00000168546","2675","GFRA2"
"309","ENSG00000168779","6474","SHOX2"
"310","ENSG00000168824","27065","NSG1"
"311","ENSG00000168930","57093","TRIM49"
"312","ENSG00000169258","114787","GPRIN1"
"313","ENSG00000169783","84894","LINGO1"
"314","ENSG00000169860","5028","P2RY1"
"315","ENSG00000170271","10826","FAXDC2"
"316","ENSG00000170324","143162","FRMPD2"
"317","ENSG00000170425","136","ADORA2B"
"318","ENSG00000171094","238","ALK"
"319","ENSG00000171345","3880","KRT19"
"320","ENSG00000171428","9","NAT1"
"321","ENSG00000171444","4163","MCC"
"322","ENSG00000171551","9427","ECEL1"
"323","ENSG00000171608","5293","PIK3CD"
"324","ENSG00000171848","6241","RRM2"
"325","ENSG00000172508","57571","CARNS1"
"326","ENSG00000172731","55222","LRRC20"
"327","ENSG00000172935","116535","MRGPRF"
"328","ENSG00000174004","375387","NRROS"
"329","ENSG00000174371","9156","EXO1"
"330","ENSG00000174871","254263","CNIH2"
"331","ENSG00000174898","257062","CATSPERD"
"332","ENSG00000175155","388403","YPEL2"
"333","ENSG00000175305","9134","CCNE2"
"334","ENSG00000175445","4023","LPL"
"335","ENSG00000175592","8061","FOSL1"
"336","ENSG00000175602","11007","CCDC85B"
"337","ENSG00000176046","26471","NUPR1"
"338","ENSG00000176170","8877","SPHK1"
"339","ENSG00000176387","3291","HSD11B2"
"340","ENSG00000176595","9920","KBTBD11"
"341","ENSG00000176771","344148","NCKAP5"
"342","ENSG00000177042","283232","TMEM80"
"343","ENSG00000177076","340485","ACER2"
"344","ENSG00000177917","151188","ARL6IP6"
"345","ENSG00000178150","163071","ZNF114"
"346","ENSG00000178343","152573","SHISA3"
"347","ENSG00000178404","100653515","CEP295NL"
"348","ENSG00000178409","57673","BEND3"
"349","ENSG00000178568","2066","ERBB4"
"350","ENSG00000178685","84875","PARP10"
"351","ENSG00000178718","54913","RPP25"
"352","ENSG00000178947","399668","SMIM10L2A"
"353","ENSG00000178999","9212","AURKB"
"354","ENSG00000179163","2517","FUCA1"
"355","ENSG00000179630","144811","LACC1"
"356","ENSG00000179673","388394","RPRML"
"357","ENSG00000180044","401097","C3orf80"
"358","ENSG00000180155","66004","LYNX1"
"359","ENSG00000180176","7054","TH"
"360","ENSG00000180532","201516","ZSCAN4"
"361","ENSG00000180573","8334","H2AC6"
"362","ENSG00000182053","283116","TRIM49B"
"363","ENSG00000182175","56963","RGMA"
"364","ENSG00000182541","3985","LIMK2"
