"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000204851",231.648871838032,0.313102621612081,0.368126953167177,0.850528924650329,0.395031086235797,0.617724261275897
"ENSG00000204852",3190.6632900439,-0.0206609409504569,0.104671843893222,-0.197387761426403,0.84352410618727,0.925966826670509
"ENSG00000204856",2314.50629558102,-0.365058317573139,0.115638078282149,-3.15690404922175,0.00159453805809551,0.00937505851236633
"ENSG00000204859",1027.67382419034,0.19059531979924,0.178494707920217,1.06779255261972,0.285614098201885,0.507644905878719
"ENSG00000204869",1820.74134765271,0.253468860160224,0.156936940096436,1.615100052317,0.106289029643961,0.261756074242422
"ENSG00000204899",3721.00523820451,-0.371731828316004,0.103660479462896,-3.58605160078448,0.000335722556082117,0.00253649954010926
"ENSG00000204909",28.7251801508951,-0.508862188725166,0.964040336645249,-0.52784325445961,0.59760813272682,0.782870758566746
"ENSG00000204918",122.224701396983,2.00025994020256,0.796103553126783,2.51256250816407,0.0119857869386112,0.0495765813970541
"ENSG00000204920",1137.11199171532,0.155018928799189,0.1729593716231,0.896273658631198,0.370106624044571,0.594023185871921
"ENSG00000204922",1847.53324300673,-0.440439793828809,0.153430511850927,-2.87061412046086,0.00409675289742948,0.0208428528729106
"ENSG00000204923",415.044567130613,0.169122333224899,0.263239528104693,0.642465569067718,0.520570938096736,0.726688373563556
"ENSG00000204930",7.39691782284568,1.35360504450812,2.05475886997729,0.658765884545413,0.510046117721759,NA
"ENSG00000204933",4.36932488734411,-2.26923525699788,2.50575357894067,-0.905609903571294,0.365142365014472,NA
"ENSG00000204936",21.6250404942079,-2.80463853274608,1.63336487010983,-1.71709247827614,0.0859622762997754,NA
"ENSG00000204941",58.2206567902653,0.789586865121173,0.69119498357306,1.14235039878254,0.253308399980278,0.471555524490823
"ENSG00000204946",2485.81029175552,-0.210734281820339,0.131853352794119,-1.59824742681658,0.109987922581841,0.267591849585682
"ENSG00000204947",203.521385915782,0.456721304629755,0.379469465015075,1.20357853987438,0.228752518135416,0.440392210195577
"ENSG00000204950",46.8489261477217,-1.44325168310634,0.83543001797682,-1.72755545294087,0.0840679552323776,0.222132305217371
"ENSG00000204954",1247.0902584154,0.0568467918162068,0.164112871964563,0.346388379751722,0.729050856838716,0.864648221053352
"ENSG00000204956",82.3164309868474,0.0325411124647299,0.562812167834872,0.0578187792028644,0.953892979560817,0.978061630258218
"ENSG00000204977",2476.84197527429,-0.0458891625606399,0.109405082508492,-0.419442694146113,0.674892627378139,0.831915042147462
"ENSG00000204978",3.7764534046832,2.47500110155865,3.19733309438685,0.774082971181105,0.43888172694776,NA
"ENSG00000204982",3.58882065265819,-3.22905108539161,2.98596413434735,-1.08140986967929,0.279514833290672,NA
"ENSG00000204983",27.5012504253063,0.905717770517746,1.00015523403006,0.905577194120373,0.365159684338339,NA
"ENSG00000204991",516.853390153967,-0.566947151099177,0.235715106654692,-2.40522196114363,0.0161626456815036,0.0628947190894627
"ENSG00000204993",6.79591434710685,1.87958428734097,3.01115898820531,0.624206259019632,0.532492136900297,NA
"ENSG00000205002",67.3868215706827,-1.15345048771023,0.720718376720907,-1.6004177567362,0.109505938515935,0.267111926773416
"ENSG00000205038",8.58524433580312,-0.582860944796284,1.8721479407975,-0.311332738238623,0.755547681582404,NA
"ENSG00000205044",27.3419703721269,3.80666192463265,1.78558870791527,2.1318805992434,0.0330166634979627,NA
"ENSG00000205045",326.504687771861,0.169921221544362,0.295790886618582,0.574464019114534,0.565653842027902,0.759497993415202
"ENSG00000205060",4526.93593317465,4.81919723332512e-05,0.0981740603647319,0.000490882949673371,0.999608332089024,0.999709535515802
"ENSG00000205076",16.6907875840285,1.5672656902318,1.76614555312808,0.887393277103327,0.374867201755298,NA
"ENSG00000205078",5.26022316791272,-3.33521849452594,2.39022613313128,-1.39535688623599,0.162908245628696,NA
"ENSG00000205084",2189.11886420649,-0.213661874301214,0.117852955724199,-1.81295303955914,0.0698390645868179,0.192799945007594
"ENSG00000205085",143.712360132355,0.630770697396909,0.427181829906798,1.47658597167986,0.139786654380262,0.316374975275891
"ENSG00000205089",7.71407745982324,-0.645696433119809,2.02361851993444,-0.319080116513624,0.749665760942404,NA
"ENSG00000205090",145.323819111705,-1.08375218519153,0.425893641488671,-2.54465453253392,0.0109385899081521,0.0461084902992979
"ENSG00000205108",3.92985061627276,3.74016039243316,2.82782428319754,1.32262828870116,0.18595902195829,NA
"ENSG00000205111",58.2774834361904,0.983966436437699,0.700007071425666,1.40565213781871,0.159827445865384,0.347531926922932
"ENSG00000205116",63.1953048487783,0.324978957126454,0.64017064970438,0.507644262161229,0.611702843742335,0.792429732344941
"ENSG00000205129",31.5952620871243,0.70544025935059,0.988181507844347,0.713877211575697,0.475303109861901,0.687996336140835
"ENSG00000205133",1267.65606785958,0.334445873396704,0.168799980261766,1.98131464753765,0.0475559987608689,0.144310361437294
"ENSG00000205138",919.723231373438,0.149884043683548,0.179121853656434,0.836771396811434,0.402721078139938,0.624500392622618
"ENSG00000205143",7.33614408284749,-0.825347011517642,1.82174265483033,-0.453053568971032,0.650510168154771,NA
"ENSG00000205155",2479.73089625984,-0.226938380308311,0.125899389571259,-1.80253757449605,0.0714608685349298,0.196352121488249
"ENSG00000205176",1.4038055706863,4.11507190458043,5.06324671389009,0.812733832086727,0.416370679467407,NA
"ENSG00000205189",2910.36135602364,0.181745257729899,0.131164586874401,1.38562749337162,0.165860678581179,0.355925274210708
"ENSG00000205208",4617.70870873341,-0.65304673037339,0.10029098072828,-6.51152003531302,7.43941032226531e-11,2.21566257987467e-09
"ENSG00000205209",148.243185675025,-0.0744066792001122,0.405585731128377,-0.183454873999403,0.854441123143591,0.93214539965262
"ENSG00000205212",61.2385740383427,-0.161964528095638,0.706998050467883,-0.229087658712004,0.818800785344319,0.913715510110507
"ENSG00000205213",1000.31636864679,-0.16916686869582,0.198026683022036,-0.854263001905634,0.392959282114251,0.616272993072187
"ENSG00000205220",2779.58928592584,-0.236689464404055,0.114086456848031,-2.07464997111214,0.0380189871906674,0.121426629025853
"ENSG00000205236",630.843732725355,0.407302027024258,0.204877104382434,1.98803096252262,0.046808265719714,0.14274950297341
"ENSG00000205238",227.445125252062,-0.381491466439007,0.506260249748583,-0.75354813384709,0.451120598198478,0.667095517506588
"ENSG00000205250",8926.51309724114,-0.18261103215331,0.0758359740120933,-2.40797371606502,0.0160413358673066,0.0625450859606875
"ENSG00000205268",3232.68800525649,-0.463014628656768,0.103329847332118,-4.48093789559725,7.43157358783284e-06,8.94714203943175e-05
"ENSG00000205269",566.764332067866,0.0449962582513923,0.239306209459211,0.188027959462797,0.850854733585633,0.929331342829882
"ENSG00000205274",2.33133111630738,3.4164473052268,4.3564067881188,0.784235144097298,0.432902147108766,NA
"ENSG00000205277",32.4057949589445,-3.98071633599493,1.36381312077923,-2.91881363754626,0.00351366214545848,0.0183518169988085
"ENSG00000205302",4879.63111288306,0.239389445570345,0.110490241631043,2.16661165761345,0.0302644777500137,0.1027816045561
"ENSG00000205307",146.661084453779,-0.358718578818577,0.486091314639798,-0.737965415169769,0.460535465771349,0.675055856924197
"ENSG00000205309",313.912554470504,-0.751495408879459,0.294577448727552,-2.55109619601092,0.0107384681852594,0.0454251771031334
"ENSG00000205323",3409.30754565778,-0.166127968957449,0.102585815882273,-1.61940486146834,0.105360181536704,0.260032328857813
"ENSG00000205336",1070.95307185385,2.10203015269458,0.180073666797059,11.6731679322305,1.74790884093651e-31,4.08805032444915e-29
